epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,787,,,0.9436904788017273,0.19278192520141602
0,,787,0.9047222137451172,0.35426416993141174,,
,0.001,788,,,,
1,,1575,,,0.9553571343421936,0.15045961737632751
1,,1575,0.9511904716491699,0.16870839893817902,,
,0.001,1576,,,,
2,,2363,,,0.9616666436195374,0.12729968130588531
2,,2363,0.9655952453613281,0.12094179540872574,,
,0.001,2364,,,,
3,,3151,,,0.9629762172698975,0.12311231344938278
3,,3151,0.9726983904838562,0.09436527639627457,,
,0.001,3152,,,,
4,,3939,,,0.9659523963928223,0.1111057847738266
4,,3939,0.9776983857154846,0.07575715333223343,,
,0.001,3940,,,,
5,,4727,,,0.965238094329834,0.1159040778875351
5,,4727,0.9815475940704346,0.061571475118398666,,
,0.001,4728,,,,
6,,5515,,,0.9680952429771423,0.10890436172485352
6,,5515,0.9827777743339539,0.053824715316295624,,
,0.001,5516,,,,
7,,6303,,,0.9702380895614624,0.10851185768842697
7,,6303,0.9863095283508301,0.04470706358551979,,
,0.001,6304,,,,
8,,7091,,,0.9641666412353516,0.119336798787117
8,,7091,0.9890079498291016,0.03892718255519867,,
,0.001,7092,,,,
9,,7879,,,0.9665476083755493,0.11521553993225098
9,,7879,0.9883333444595337,0.03693101927638054,,
,0.001,7880,,,,
10,,8667,,,0.9708333611488342,0.09783493727445602
10,,8667,0.9915872812271118,0.03123290278017521,,
,0.001,8668,,,,
11,,9455,,,0.9702380895614624,0.10542404651641846
11,,9455,0.9919047355651855,0.027255794033408165,,
,0.001,9456,,,,
12,,10243,,,0.9688095450401306,0.11075039207935333
12,,10243,0.9927777647972107,0.025159893557429314,,
,0.001,10244,,,,
13,,11031,,,0.9697619080543518,0.10799714922904968
13,,11031,0.9927777647972107,0.02342086099088192,,
