epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,98,,,0.898809552192688,0.36195245385169983
0,,98,0.8191666603088379,0.7879602909088135,,
,0.001,99,,,,
1,,197,,,0.9160714149475098,0.29245075583457947
1,,197,0.9090079069137573,0.31759822368621826,,
,0.001,198,,,,
2,,296,,,0.9269047379493713,0.25420454144477844
2,,296,0.9282143115997314,0.2586398124694824,,
,0.001,297,,,,
3,,395,,,0.9317857027053833,0.2347734570503235
3,,395,0.9381746053695679,0.22000549733638763,,
,0.001,396,,,,
4,,494,,,0.9419047832489014,0.2057390958070755
4,,494,0.9462698698043823,0.1909925639629364,,
,0.001,495,,,,
5,,593,,,0.9473809599876404,0.18764065206050873
5,,593,0.9525793790817261,0.16520655155181885,,
,0.001,594,,,,
6,,692,,,0.9503571391105652,0.17365145683288574
6,,692,0.9591270089149475,0.14596065878868103,,
,0.001,693,,,,
7,,791,,,0.9524999856948853,0.16753432154655457
7,,791,0.9632936716079712,0.1298922896385193,,
,0.001,792,,,,
8,,890,,,0.9540476202964783,0.1573553830385208
8,,890,0.9670237898826599,0.11513359844684601,,
,0.001,891,,,,
9,,989,,,0.9571428298950195,0.14839673042297363
9,,989,0.9708333611488342,0.10465578734874725,,
,0.001,990,,,,
10,,1088,,,0.9601190686225891,0.1398244947195053
10,,1088,0.9740079641342163,0.09361705929040909,,
,0.001,1089,,,,
11,,1187,,,0.9595237970352173,0.13735833764076233
11,,1187,0.9768650531768799,0.08488467335700989,,
,0.001,1188,,,,
12,,1286,,,0.9599999785423279,0.13577735424041748
12,,1286,0.9793254137039185,0.07608725130558014,,
,0.001,1287,,,,
13,,1385,,,0.9605952501296997,0.13366271555423737
13,,1385,0.9823809266090393,0.06962121278047562,,
,0.001,1386,,,,
14,,1484,,,0.9629762172698975,0.12626993656158447
14,,1484,0.9834523797035217,0.06286045908927917,,
,0.001,1485,,,,
15,,1583,,,0.9645237922668457,0.12408723682165146
15,,1583,0.9864285588264465,0.0568130724132061,,
,0.001,1584,,,,
16,,1682,,,0.9634523987770081,0.12224631011486053
16,,1682,0.9867857098579407,0.05282093212008476,,
,0.001,1683,,,,
17,,1781,,,0.9641666412353516,0.11980919539928436
17,,1781,0.9888888597488403,0.04670826345682144,,
,0.001,1782,,,,
18,,1880,,,0.9649999737739563,0.11808311194181442
18,,1880,0.9899206161499023,0.042959731072187424,,
,0.001,1881,,,,
19,,1979,,,0.9644047617912292,0.12026084959506989
19,,1979,0.9916269779205322,0.03895266354084015,,
,0.001,1980,,,,
20,,2078,,,0.9640476107597351,0.12206108123064041
20,,2078,0.9921031594276428,0.035406701266765594,,
,0.001,2079,,,,
21,,2177,,,0.965833306312561,0.11575101315975189
21,,2177,0.9933333396911621,0.03227794170379639,,
,0.001,2178,,,,
22,,2276,,,0.9663095474243164,0.11677319556474686
22,,2276,0.9946428537368774,0.029072284698486328,,
,0.001,2277,,,,
23,,2375,,,0.9640476107597351,0.1193605288863182
23,,2375,0.9953571557998657,0.026382125914096832,,
,0.001,2376,,,,
24,,2474,,,0.9653571248054504,0.11718935519456863
24,,2474,0.9957143068313599,0.024432947859168053,,
,0.001,2475,,,,
25,,2573,,,0.965238094329834,0.1172933429479599
25,,2573,0.9965079426765442,0.021524988114833832,,
,0.001,2574,,,,
26,,2672,,,0.9647619128227234,0.11943045258522034
26,,2672,0.9976984262466431,0.019779179245233536,,
,0.001,2673,,,,
27,,2771,,,0.9649999737739563,0.11802353709936142
27,,2771,0.9978174567222595,0.01796824485063553,,
