epoch,step,train_acc,train_loss,val_acc,val_loss
0,98,,,0.9779762029647827,0.10208514332771301
0,98,0.9421428442001343,0.31733813881874084,,
1,197,,,0.9858333468437195,0.05468934774398804
1,197,0.9846031665802002,0.07238452881574631,,
2,296,,,0.9853571653366089,0.05191449075937271
2,296,0.990912675857544,0.04350120946764946,,
3,395,,,0.9850000143051147,0.047102127224206924
3,395,0.9936507940292358,0.030064038932323456,,
4,494,,,0.9861904978752136,0.046832598745822906
4,494,0.9939682483673096,0.02327677421271801,,
5,593,,,0.9867857098579407,0.04579729214310646
5,593,0.9964682459831238,0.016302581876516342,,
6,692,,,0.988095223903656,0.037757378071546555
6,692,0.9981349110603333,0.011298464611172676,,
7,791,,,0.9892857074737549,0.03683899715542793
7,791,0.9984920620918274,0.009548291563987732,,
8,890,,,0.9886904954910278,0.03813685104250908
8,890,0.9988492131233215,0.008071986958384514,,
9,989,,,0.9878571629524231,0.04349692538380623
9,989,0.9990872740745544,0.0059717921540141106,,
10,1088,,,0.987500011920929,0.041308581829071045
10,1088,0.9991269707679749,0.0059225731529295444,,
11,1089,,,0.987500011920929,0.041308581829071045
