epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,98,,,0.9426190257072449,0.19138938188552856
0,,98,0.8281348943710327,0.5926875472068787,,
,0.001,99,,,,
1,,197,,,0.9666666388511658,0.10967211425304413
1,,197,0.9591270089149475,0.137605682015419,,
,0.001,198,,,,
2,,296,,,0.9739285707473755,0.08679799735546112
2,,296,0.9738888740539551,0.08473663777112961,,
,0.001,297,,,,
3,,395,,,0.9776190519332886,0.0741174966096878
3,,395,0.9802777767181396,0.06490375846624374,,
,0.001,396,,,,
4,,494,,,0.9803571701049805,0.06305062025785446
4,,494,0.9841269850730896,0.05000089108943939,,
,0.001,495,,,,
5,,593,,,0.9817857146263123,0.058564215898513794
5,,593,0.9881349205970764,0.03963584452867508,,
,0.001,594,,,,
6,,692,,,0.9827380776405334,0.05755070224404335
6,,692,0.9894444346427917,0.03478754684329033,,
,0.001,693,,,,
7,,791,,,0.9836905002593994,0.05308295413851738
7,,791,0.9905555844306946,0.030049597844481468,,
,0.001,792,,,,
8,,890,,,0.98416668176651,0.05722387135028839
8,,890,0.9923015832901001,0.024794457480311394,,
,0.001,891,,,,
9,,989,,,0.9802380800247192,0.06613803654909134
9,,989,0.9933730363845825,0.0214373879134655,,
,0.001,990,,,,
10,,1088,,,0.9840475916862488,0.052015695720911026
10,,1088,0.9938492178916931,0.01952342502772808,,
,0.001,1089,,,,
11,,1187,,,0.9854761958122253,0.05010194331407547
11,,1187,0.9953174591064453,0.015533502213656902,,
,0.001,1188,,,,
12,,1286,,,0.9846428632736206,0.05265629291534424
12,,1286,0.9968650937080383,0.011909134685993195,,
,0.001,1287,,,,
13,,1385,,,0.9829761981964111,0.06591497361660004
13,,1385,0.9972222447395325,0.009913535788655281,,
,0.001,1386,,,,
14,,1484,,,0.9811905026435852,0.06894666701555252
14,,1484,0.9970238208770752,0.009811739437282085,,
,0.001,1485,,,,
15,,1583,,,0.9860714077949524,0.05316999554634094
15,,1583,0.9978968501091003,0.008405930362641811,,
,0.001,1584,,,,
16,,1682,,,0.9846428632736206,0.05864771082997322
16,,1682,0.9974603056907654,0.008069407194852829,,
