epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,,,0.9492856860160828,0.3710182011127472
0,49,,,0.9298809766769409,0.47764724493026733,,
1,99,,,,,0.9879761934280396,0.09662741422653198
1,99,,,0.9859126806259155,0.1350419968366623,,
2,149,,,,,0.9873809814453125,0.07401547580957413
2,149,,,0.9922618865966797,0.07231834530830383,,
3,199,,,,,0.9889285564422607,0.05469373241066933
3,199,,,0.9952777624130249,0.04715915769338608,,
4,249,,,,,0.9900000095367432,0.0461270809173584
4,249,,,0.9978968501091003,0.030347632244229317,,
5,299,,,,,0.9908333420753479,0.037263814359903336
5,299,,,0.9991269707679749,0.019996965304017067,,
6,349,,,,,0.9915476441383362,0.03497761860489845
6,349,,,0.9996031522750854,0.014068753458559513,,
7,399,,,,,0.9921428561210632,0.032487720251083374
7,399,,,0.9999206066131592,0.010583805851638317,,
8,449,,,,,0.9916666746139526,0.03148563951253891
8,449,,,0.9999603033065796,0.007393026724457741,,
9,499,,,,,0.9917857050895691,0.03021872416138649
9,499,,,0.9999603033065796,0.005837598349899054,,
10,549,,,,,0.9915476441383362,0.030499881133437157
10,549,,,0.9999603033065796,0.004840100184082985,,
11,599,,,,,0.9925000071525574,0.028766121715307236
11,599,,,1.0,0.004217338748276234,,
12,649,,,,,0.9919047355651855,0.028987519443035126
12,649,,,1.0,0.003450272371992469,,
13,699,,,,,0.9922618865966797,0.028575940057635307
13,699,,,1.0,0.002972823567688465,,
14,749,,,,,0.9922618865966797,0.0275366622954607
14,749,,,1.0,0.002565355971455574,,
15,799,,,,,0.9916666746139526,0.02786191739141941
15,799,,,1.0,0.002207291079685092,,
16,849,,,,,0.9921428561210632,0.02799905650317669
16,849,,,1.0,0.002008490962907672,,
17,899,,,,,0.9915476441383362,0.028406808152794838
17,899,,,1.0,0.0019058723701164126,,
18,949,,,,,0.9922618865966797,0.027997421100735664
18,949,,,1.0,0.0016446628142148256,,
19,999,,,,,0.9925000071525574,0.02754976600408554
19,999,,,1.0,0.0014551671920344234,,
20,1000,,,,,0.9925000071525574,0.02754976600408554
20,1000,0.9928571581840515,0.02300778031349182,,,,
