epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0005762168055965832,0,,,,
0,,196,,,0.9847618937492371,0.5746824741363525
0,,196,0.9692063331604004,0.644730269908905,,
,0.0005762168055965832,197,,,,
1,,393,,,0.9884523749351501,0.5565040111541748
1,,393,0.9921428561210632,0.5554457306861877,,
,0.0005762168055965832,394,,,,
2,,590,,,0.991428554058075,0.5465791821479797
2,,590,0.9958333373069763,0.5412999391555786,,
,0.0005762168055965832,591,,,,
3,,787,,,0.9909523725509644,0.5437659025192261
3,,787,0.9980158805847168,0.533789873123169,,
,0.0005762168055965832,788,,,,
4,,984,,,0.991190493106842,0.5394349694252014
4,,984,0.9987301826477051,0.528496503829956,,
,0.0005762168055965832,985,,,,
5,,1181,,,0.9923809766769409,0.54515141248703
5,,1181,0.9995635151863098,0.5239556431770325,,
,0.0005762168055965832,1182,,,,
6,,1378,,,0.9920238256454468,0.5346660614013672
6,,1378,0.9998809695243835,0.5211092233657837,,
,0.0005762168055965832,1379,,,,
