epoch,lr-SGD,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.05306371575220848,0,,,,,,
0,,196,,,,,0.9852380752563477,0.5720611214637756
0,,196,,,0.9646825194358826,0.6455590724945068,,
,0.05306371575220848,197,,,,,,
1,,393,,,,,0.9894047379493713,0.5533484816551208
1,,393,,,0.9909920692443848,0.5605384111404419,,
,0.05306371575220848,394,,,,,,
2,,590,,,,,0.9898809790611267,0.5470064878463745
2,,590,,,0.9952777624130249,0.5463979840278625,,
,0.05306371575220848,591,,,,,,
3,,787,,,,,0.9909523725509644,0.5472276210784912
3,,787,,,0.9963492155075073,0.5403545498847961,,
,0.05306371575220848,788,,,,,,
4,,984,,,,,0.9909523725509644,0.5415351986885071
4,,984,,,0.997936487197876,0.5349766612052917,,
,0.05306371575220848,985,,,,,,
5,,1181,,,,,0.9915476441383362,0.5384885668754578
5,,1181,,,0.9987698197364807,0.5311391949653625,,
,0.05306371575220848,1182,,,,,,
6,,1378,,,,,0.9926190376281738,0.5392144918441772
6,,1378,,,0.9990476369857788,0.5281550884246826,,
,0.05306371575220848,1379,,,,,,
7,,1575,,,,,0.9915476441383362,0.5381262302398682
7,,1575,,,0.999484121799469,0.5258135199546814,,
,0.05306371575220848,1576,,,,,,
8,,1772,,,,,0.9930952191352844,0.5339507460594177
8,,1772,,,0.9998412728309631,0.5233523845672607,,
,0.05306371575220848,1773,,,,,,
9,,1969,,,,,0.9923809766769409,0.5370222330093384
9,,1969,,,0.9996031522750854,0.5225389003753662,,
,0.05306371575220848,1970,,,,,,
10,,2166,,,,,0.9921428561210632,0.5374624133110046
10,,2166,,,0.9998015761375427,0.5218940377235413,,
,0.05306371575220848,2167,,,,,,
11,,2363,,,,,0.9930952191352844,0.5323345065116882
11,,2363,,,0.9998809695243835,0.5204806327819824,,
,0.05306371575220848,2364,,,,,,
12,,2560,,,,,0.9938095211982727,0.5330830812454224
12,,2560,,,0.9999603033065796,0.5194247364997864,,
,0.05306371575220848,2561,,,,,,
13,,2757,,,,,0.992976188659668,0.5333783030509949
13,,2757,,,0.9999206066131592,0.5183955430984497,,
,0.05306371575220848,2758,,,,,,
14,,2954,,,,,0.993571400642395,0.5317047834396362
14,,2954,,,0.9999603033065796,0.5181869268417358,,
,0.05306371575220848,2955,,,,,,
15,,3151,,,,,0.992976188659668,0.5321494340896606
15,,3151,,,0.9999206066131592,0.5174739360809326,,
,0.05306371575220848,3152,,,,,,
16,,3348,,,,,0.9927380681037903,0.5311418175697327
16,,3348,,,0.9999603033065796,0.517076849937439,,
,0.05306371575220848,3349,,,,,,
17,,3545,,,,,0.993571400642395,0.529758870601654
17,,3545,,,0.9999603033065796,0.5164535641670227,,
,0.05306371575220848,3546,,,,,,
18,,3742,,,,,0.9928571581840515,0.5320311784744263
18,,3742,,,0.9999206066131592,0.516514003276825,,
,0.05306371575220848,3743,,,,,,
19,,3939,,,,,0.9930952191352844,0.5326927304267883
19,,3939,,,0.9999603033065796,0.5161682963371277,,
,0.05306371575220848,3940,,,,,,
20,,4136,,,,,0.9939285516738892,0.5317550301551819
20,,4136,,,0.9999603033065796,0.5155922174453735,,
,0.05306371575220848,4137,,,,,,
21,,4333,,,,,0.993571400642395,0.5309643745422363
21,,4333,,,0.9999603033065796,0.515153706073761,,
,0.05306371575220848,4334,,,,,,
22,,4530,,,,,0.9939285516738892,0.530115008354187
22,,4530,,,0.9999603033065796,0.5152189135551453,,
23,,4531,0.992976188659668,0.5300455093383789,,,,
