epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.0005762168055965832,0,,,,,,
0,,196,,,,,0.9870238304138184,0.5663389563560486
0,,196,,,0.9684920907020569,0.6428442597389221,,
,0.0005762168055965832,197,,,,,,
1,,393,,,,,0.9897618889808655,0.5538865327835083
1,,393,,,0.9926190376281738,0.5533493757247925,,
,0.0005762168055965832,394,,,,,,
2,,590,,,,,0.9905952215194702,0.5483372211456299
2,,590,,,0.9957936406135559,0.5410256385803223,,
,0.0005762168055965832,591,,,,,,
3,,787,,,,,0.9904761910438538,0.5479709506034851
3,,787,,,0.9979761838912964,0.5318885445594788,,
,0.0005762168055965832,788,,,,,,
4,,984,,,,,0.9923809766769409,0.5400504469871521
4,,984,,,0.9992063641548157,0.5264616012573242,,
,0.0005762168055965832,985,,,,,,
5,,1181,,,,,0.9882143139839172,0.5589564442634583
5,,1181,,,0.999404788017273,0.5237915515899658,,
,0.0005762168055965832,1182,,,,,,
6,,1378,,,,,0.9920238256454468,0.5349352359771729
6,,1378,,,0.9999206066131592,0.5206410884857178,,
,0.0005762168055965832,1379,,,,,,
7,,1575,,,,,0.9925000071525574,0.532450795173645
7,,1575,,,0.9999206066131592,0.5185590386390686,,
,0.0005762168055965832,1576,,,,,,
8,,1772,,,,,0.991428554058075,0.5408063530921936
8,,1772,,,0.9999603033065796,0.517288863658905,,
,0.0005762168055965832,1773,,,,,,
9,,1969,,,,,0.9934523701667786,0.5330792665481567
9,,1969,,,0.9999603033065796,0.5165076851844788,,
,0.0005762168055965832,1970,,,,,,
10,,2166,,,,,0.9920238256454468,0.5340468883514404
10,,2166,,,0.9999603033065796,0.515110194683075,,
,0.0005762168055965832,2167,,,,,,
11,,2363,,,,,0.9932143092155457,0.5308151841163635
11,,2363,,,0.9999603033065796,0.5149661898612976,,
,0.0005762168055965832,2364,,,,,,
12,,2560,,,,,0.9938095211982727,0.533921480178833
12,,2560,,,0.9999603033065796,0.5143945813179016,,
,0.0005762168055965832,2561,,,,,,
13,,2757,,,,,0.9923809766769409,0.532799482345581
13,,2757,,,0.9999603033065796,0.514122486114502,,
,0.0005762168055965832,2758,,,,,,
14,,2954,,,,,0.9934523701667786,0.5302389860153198
14,,2954,,,1.0,0.5138264298439026,,
,0.0005762168055965832,2955,,,,,,
15,,3151,,,,,0.9936904907226562,0.5309284329414368
15,,3151,,,1.0,0.5134618282318115,,
,0.0005762168055965832,3152,,,,,,
16,,3348,,,,,0.993571400642395,0.5301569700241089
16,,3348,,,1.0,0.513020396232605,,
,0.0005762168055965832,3349,,,,,,
17,,3545,,,,,0.9936904907226562,0.5358182191848755
17,,3545,,,1.0,0.5130378007888794,,
18,,3546,0.9952380657196045,0.531377911567688,,,,
